date,home_team,away_team,home_goals,away_goals,home_win
2021-11-17,STL,ARI,2,3,0
2021-11-17,MIN,SJS,1,4,0
2021-11-17,FLA,NYI,6,1,1
2021-11-17,DAL,DET,5,2,1
2021-11-17,ANA,WSH,3,2,1
2021-11-17,NYR,MTL,3,2,1
2021-11-18,LAK,WSH,0,2,0
2021-11-18,SEA,CHI,2,4,0
2021-11-18,VAN,COL,2,4,0
2021-11-19,PHI,TBL,3,4,0
2021-11-19,VGK,DET,5,2,1
2021-11-19,TOR,NYR,2,1,1
2021-11-19,STL,SJS,4,1,1
2021-11-19,MTL,PIT,0,6,0
2021-11-19,ANA,CAR,1,2,0
2021-11-19,FLA,NJD,4,1,1
2021-11-19,EDM,WPG,2,1,1
2021-11-19,BUF,CGY,0,5,0
2021-11-19,ARI,CBJ,4,5,0
2021-11-19,MIN,DAL,7,2,1
2021-11-20,FLA,MIN,5,4,1
2021-11-20,LAK,CAR,4,5,0
2021-11-20,SEA,COL,3,7,0
2021-11-20,TBL,NJD,3,5,0
2021-11-20,VAN,WPG,3,2,1
2021-11-21,TOR,PIT,0,2,0
2021-11-21,TBL,MIN,5,4,1
2021-11-21,SJS,WSH,0,4,0
2021-11-21,PHI,BOS,2,5,0
2021-11-21,NYR,BUF,5,4,1
2021-11-21,VGK,CBJ,3,2,1
2021-11-21,MTL,NSH,6,3,1
2021-11-21,EDM,CHI,5,2,1
2021-11-21,DAL,STL,4,1,1
2021-11-21,ARI,DET,2,1,1
2021-11-21,NYI,CGY,2,5,0
2021-11-22,BOS,CGY,0,4,0
2021-11-22,LAK,ARI,1,2,0
2021-11-22,NYI,TOR,0,3,0
2021-11-22,SEA,WSH,5,2,1
2021-11-22,VAN,CHI,0,1,0
2021-11-23,WPG,PIT,1,3,0
2021-11-23,STL,VGK,5,2,1
2021-11-23,SJS,CAR,2,1,1
2021-11-23,NSH,ANA,3,2,1
2021-11-23,BUF,CBJ,4,7,0
2021-11-23,COL,OTT,7,5,1
2021-11-24,CGY,CHI,5,2,1
2021-11-24,DAL,EDM,4,1,1
2021-11-24,TBL,PHI,4,0,1
2021-11-25,NSH,VGK,2,5,0
2021-11-25,WSH,MTL,6,3,1
2021-11-25,SEA,CAR,2,1,1
2021-11-25,PIT,VAN,4,1,1
2021-11-25,NYI,NYR,1,4,0
2021-11-25,NJD,MIN,2,3,0
2021-11-25,SJS,OTT,6,3,1
2021-11-25,FLA,PHI,2,1,1
2021-11-25,DET,STL,4,2,1
2021-11-25,COL,ANA,5,2,1
2021-11-25,CBJ,WPG,3,0,1
2021-11-25,BUF,BOS,1,5,0
2021-11-25,ARI,EDM,3,5,0
2021-11-25,LAK,TOR,2,6,0
2021-11-26,WSH,FLA,4,3,1
2021-11-26,PHI,CAR,3,6,0
2021-11-26,NSH,NJD,4,2,1
2021-11-26,ANA,OTT,4,0,1
2021-11-26,CHI,STL,3,2,1
2021-11-26,MIN,WPG,7,1,1
2021-11-26,BOS,NYR,2,5,0
2021-11-27,BUF,MTL,4,1,1
2021-11-27,CBJ,VAN,4,2,1
2021-11-27,DAL,COL,3,1,1
2021-11-27,FLA,SEA,1,4,0
2021-11-27,NYI,PIT,0,1,0
2021-11-27,SJS,TOR,1,4,0
2021-11-27,TBL,SEA,3,0,1
2021-11-28,COL,NSH,6,2,1
2021-11-28,STL,CBJ,6,3,1
2021-11-28,PIT,MTL,3,6,0
2021-11-28,MIN,TBL,4,2,1
2021-11-28,LAK,OTT,4,2,1
2021-11-28,CAR,WSH,2,4,0
2021-11-28,CGY,WPG,2,4,0
2021-11-28,VGK,EDM,2,3,0
2021-11-28,ARI,DAL,2,3,0
2021-11-28,DET,BUF,3,2,1
2021-11-29,CHI,SJS,0,2,0
2021-11-29,NJD,PHI,5,2,1
2021-11-29,ANA,TOR,1,5,0
2021-11-29,BOS,VAN,3,2,1
2021-11-30,WPG,ARI,0,1,0
2021-11-30,MTL,VAN,1,2,0
2021-11-30,BUF,SEA,4,7,0
2021-11-30,CGY,PIT,2,1,1
2021-12-01,BOS,DET,1,2,0
2021-12-01,DAL,CAR,4,1,1
2021-12-01,FLA,WSH,5,4,1
2021-12-01,LAK,ANA,4,5,0
2021-12-01,MIN,ARI,5,2,1
2021-12-01,NJD,SJS,2,5,0
2021-12-01,NSH,CBJ,6,0,1
2021-12-01,STL,TBL,4,3,1
2021-12-02,ANA,VGK,6,5,1
2021-12-02,DET,SEA,4,3,1
2021-12-02,EDM,PIT,5,2,1
2021-12-02,NYR,PHI,4,1,1
2021-12-02,OTT,VAN,2,6,0
2021-12-02,TOR,COL,8,3,1
2021-12-03,NSH,BOS,0,2,0
2021-12-03,MTL,COL,1,4,0
2021-12-03,TBL,STL,4,2,1
2021-12-03,NYI,SJS,1,2,0
2021-12-03,WSH,CHI,3,4,0
2021-12-03,MIN,NJD,5,2,1
2021-12-03,FLA,BUF,7,4,1
2021-12-03,CAR,OTT,2,3,0
2021-12-03,LAK,CGY,2,3,0
2021-12-03,DAL,CBJ,3,2,1
2021-12-04,ANA,CGY,3,4,0
2021-12-04,ARI,VGK,1,7,0
2021-12-04,FLA,STL,4,3,1
2021-12-04,NYR,SJS,1,0,1
2021-12-04,SEA,EDM,4,3,1
2021-12-04,WPG,NJD,8,4,1
2021-12-05,CBJ,SJS,6,4,1
2021-12-05,WSH,CBJ,3,1,1
2021-12-05,VAN,PIT,1,4,0
2021-12-05,PHI,TBL,1,7,0
2021-12-05,OTT,COL,6,5,1
2021-12-05,NYR,CHI,3,2,1
2021-12-05,CAR,BUF,6,2,1
2021-12-05,MIN,TOR,4,3,1
2021-12-05,DET,NYI,4,3,1
2021-12-05,BOS,TBL,2,3,0
2021-12-05,NSH,MTL,4,3,1
2021-12-06,VGK,CGY,3,2,1
2021-12-06,WPG,TOR,6,3,1
2021-12-06,NYI,CHI,2,3,0
2021-12-06,EDM,LAK,1,5,0
2021-12-07,DAL,ARI,4,1,1
2021-12-07,NJD,OTT,2,3,0
2021-12-07,PHI,COL,5,7,0
2021-12-07,SEA,PIT,1,6,0
2021-12-07,VAN,LAK,4,0,1
2021-12-07,WSH,ANA,4,3,1
