date,home_team,away_team,home_goals,away_goals,home_win,game_key,season,home_elo_pre,away_elo_pre,elo_diff,home_elo,away_elo,home_elo_post,away_elo_post,home_rolling_win_pct,home_rolling_goal_diff,rest_days_x,home_rest_days,away_rolling_win_pct,away_rolling_goal_diff,away_rest_days,home_home_rolling_win_pct,home_home_rolling_goal_diff,away_away_rolling_win_pct,away_away_rolling_goal_diff,rest_diff
2023-04-14,SEA,VGK,1,3,0,2023-04-14|SEA|VGK|1|3,2022,1528.6217869760032,1567.1134374928527,1.508349483150596,1528.6217869760032,1567.1134374928527,1521.0892268396103,1574.6459976292456,0.7,1.8,2.0,2.0,0.6,0.6,2.0,0.5,1.0,0.7,0.9,0.0
2023-04-15,NSH,COL,3,4,0,2023-04-15|NSH|COL|3|4,2022,1527.7279714058957,1601.9685337129042,-34.24056230700853,1527.7279714058957,1601.9685337129042,1520.9647296355943,1608.7317754832056,0.6,0.3,1.0,1.0,0.8,1.4,1.0,0.6,0.4,1.0,2.2,0.0
2023-04-17,BOS,FLA,3,1,1,2023-04-17|BOS|FLA|3|1,2022,1692.3291929676398,1533.9531068777023,198.37608608993742,1692.3291929676398,1533.9531068777023,1695.9586457498897,1530.3236540954524,0.9,1.1,4.0,4.0,0.6,1.2,4.0,0.8,0.9,0.7,1.2,0.0
2023-04-17,CAR,NYI,2,1,1,2023-04-17|CAR|NYI|2|1,2022,1581.5880918062066,1505.287181211671,116.30091059453571,1581.5880918062066,1505.287181211671,1586.6672848750711,1500.2079881428065,0.5,0.0,4.0,4.0,0.5,0.4,5.0,0.6,0.0,0.4,-0.6,-1.0
2023-04-18,DAL,MIN,2,3,0,2023-04-18|DAL|MIN|2|3,2022,1553.951885645458,1541.6065448070005,52.34534083845756,1553.951885645458,1541.6065448070005,1545.3303934166179,1550.2280370358408,0.8,1.8,4.0,4.0,0.5,0.2,4.0,0.7,1.2,0.5,0.2,0.0
2023-04-18,EDM,LAK,3,4,0,2023-04-18|EDM|LAK|3|4,2022,1604.868101174724,1555.4589802818566,89.40912089286735,1604.868101174724,1555.4589802818566,1595.4795562188983,1564.8475252376822,0.9,2.4,4.0,4.0,0.5,0.2,4.0,0.9,2.4,0.6,0.3,0.0
2023-04-18,NJD,NYR,1,5,0,2023-04-18|NJD|NYR|1|5,2022,1560.8004609178893,1560.2633184594733,40.53714245841593,1560.8004609178893,1560.2633184594733,1552.4293456387777,1568.634433738585,0.7,1.2,5.0,5.0,0.5,1.0,5.0,0.6,1.5,0.6,0.7,0.0
2023-04-18,TOR,TBL,3,7,0,2023-04-18|TOR|TBL|3|7,2022,1586.6549727561248,1527.044081258597,99.61089149752775,1586.6549727561248,1527.044081258597,1577.0617406283636,1536.6373133863583,0.7,1.0,5.0,5.0,0.4,0.0,5.0,0.6,1.3,0.3,-1.6,0.0
2023-04-19,BOS,FLA,3,6,0,2023-04-19|BOS|FLA|3|6,2022,1695.9586457498897,1530.3236540954524,205.63499165443727,1695.9586457498897,1530.3236540954524,1684.4743782314688,1541.8079216138733,0.9,1.2,2.0,2.0,0.6,1.1,2.0,0.9,1.2,0.6,0.7,0.0
2023-04-19,CAR,NYI,4,3,1,2023-04-19|CAR|NYI|4|3,2022,1586.6672848750711,1500.2079881428065,126.45929673226465,1586.6672848750711,1500.2079881428065,1591.551928973073,1495.3233440448046,0.6,0.5,2.0,2.0,0.5,0.4,2.0,0.6,0.0,0.4,-0.6,0.0
2023-04-19,COL,SEA,1,3,0,2023-04-19|COL|SEA|1|3,2022,1608.7317754832056,1521.0892268396103,127.64254864359532,1608.7317754832056,1521.0892268396103,1598.5940097490018,1531.2269925738142,0.8,1.4,4.0,4.0,0.6,1.1,5.0,0.6,1.0,0.7,0.8,-1.0
2023-04-19,VGK,WPG,1,5,0,2023-04-19|VGK|WPG|1|5,2022,1574.6459976292456,1519.70262979994,94.94336782930554,1574.6459976292456,1519.70262979994,1565.146017650632,1529.2026097785536,0.6,0.7,5.0,5.0,0.6,0.8,5.0,0.7,0.8,0.5,-0.7,0.0
2023-04-20,DAL,MIN,7,3,1,2023-04-20|DAL|MIN|7|3,2022,1545.3303934166179,1550.2280370358408,35.10235638077711,1545.3303934166179,1550.2280370358408,1552.0752159144224,1543.4832145380362,0.8,1.9,2.0,2.0,0.5,0.1,2.0,0.6,0.9,0.5,0.0,0.0
2023-04-20,EDM,LAK,4,2,1,2023-04-20|EDM|LAK|4|2,2022,1595.4795562188983,1564.8475252376822,70.63203098121608,1595.4795562188983,1564.8475252376822,1601.4755047099043,1558.8515767466763,0.9,2.4,2.0,2.0,0.5,0.2,2.0,0.8,2.0,0.6,0.3,0.0
2023-04-20,NJD,NYR,1,5,0,2023-04-20|NJD|NYR|1|5,2022,1552.4293456387777,1568.634433738585,23.7949119001928,1552.4293456387777,1568.634433738585,1544.4164927710592,1576.6472866063034,0.6,0.6,2.0,2.0,0.5,1.3,2.0,0.6,1.2,0.6,1.0,0.0
2023-04-20,TOR,TBL,7,2,1,2023-04-20|TOR|TBL|7|2,2022,1577.0617406283636,1536.6373133863583,80.42442724200532,1577.0617406283636,1536.6373133863583,1582.8559978262037,1530.8430561885182,0.6,0.5,2.0,2.0,0.5,0.9,2.0,0.5,0.5,0.4,-0.6,0.0
2023-04-21,COL,SEA,3,2,1,2023-04-21|COL|SEA|3|2,2022,1598.5940097490018,1531.2269925738142,107.36701717518758,1598.5940097490018,1531.2269925738142,1603.8473714737572,1525.9736308490587,0.7,0.8,2.0,2.0,0.7,1.7,2.0,0.5,0.2,0.7,0.8,0.0
2023-04-21,FLA,BOS,2,4,0,2023-04-21|FLA|BOS|2|4,2022,1541.8079216138733,1684.4743782314688,-102.66645661759549,1541.8079216138733,1684.4743782314688,1536.4618249710725,1689.8204748742696,0.7,1.7,2.0,2.0,0.9,1.0,2.0,0.5,0.4,0.8,1.4,0.0
2023-04-21,NYI,CAR,5,1,1,2023-04-21|NYI|CAR|5|1,2022,1495.3233440448046,1591.551928973073,-56.22858492826845,1495.3233440448046,1591.551928973073,1504.0266483419882,1582.8486246758894,0.5,0.5,2.0,2.0,0.7,0.7,2.0,0.7,1.7,0.4,-0.5,0.0
2023-04-21,VGK,WPG,5,2,1,2023-04-21|VGK|WPG|5|2,2022,1565.146017650632,1529.2026097785536,75.94340787207852,1565.146017650632,1529.2026097785536,1571.032266729245,1523.3163606999406,0.5,0.2,2.0,2.0,0.6,1.1,2.0,0.7,0.5,0.5,-0.4,0.0
2023-04-22,LAK,EDM,3,2,1,2023-04-22|LAK|EDM|3|2,2022,1558.8515767466763,1601.4755047099043,-2.6239279632279704,1558.8515767466763,1601.4755047099043,1566.408217708056,1593.9188637485245,0.5,0.1,2.0,2.0,0.9,2.5,2.0,0.6,1.4,0.9,1.5,0.0
2023-04-22,MIN,DAL,5,1,1,2023-04-22|MIN|DAL|5|1,2022,1543.4832145380362,1552.0752159144224,31.40799862361382,1543.4832145380362,1552.0752159144224,1550.3070592466038,1545.2513712058549,0.4,-0.7,2.0,2.0,0.8,2.0,2.0,0.6,0.5,0.7,1.0,0.0
